video_id,title,url,duration,tone,style,emotion,region_tags,language,duration_group,category
ec5LRgaaGkg,محمد فراج يتقمص شخصية صالح في مسلسل منتهي الصلاحية، ويصارحنا: أنا مش زيه.. بس أقدر أفهمه,https://www.youtube.com/watch?v=ec5LRgaaGkg,102,factual,interview,none,"['Egypt', 'North Africa', 'MENA']",Mixed,1 to 2 minutes,entertainment
X-jpBi6DjL0,"تريندات | ""الله يقرفه سممونا"".. تصرف صادم من عامل بلبن!",https://www.youtube.com/watch?v=X-jpBi6DjL0,35,confrontational,storytelling,anger,['MENA'],Arabic,Up to 1 minute,society
vPGa2Crig1k,الشقيقة سببها بكتيريا الفم!.. حافظ على تنظيف أسنانك لتفادي آلام الشقيقة,https://www.youtube.com/watch?v=vPGa2Crig1k,43,casual,casual report,none,['Global'],Arabic,Up to 1 minute,health
BGNwDoT9DyQ,The thirst for camel milk is going globalالعطش لحليب الإبل ينتشر عالمياً.. ما القصة؟,https://www.youtube.com/watch?v=BGNwDoT9DyQ,62,factual,news report,none,['Global'],English,1 to 2 minutes,economy
RkfI97-F2-8,أقدم شكوى في العالم عثر عليها في العراق وعمرها 4000 سنة!.. معقول؟,https://www.youtube.com/watch?v=RkfI97-F2-8,53,satirical,storytelling,other,['Other'],Arabic,Up to 1 minute,history
J2SmuqQ5ua8,"تريندات | ""ناقص علامة"".. ظهور جدلي لشبيه راغب علامة!",https://www.youtube.com/watch?v=J2SmuqQ5ua8,43,satirical,storytelling,other,['Other'],Arabic,Up to 1 minute,entertainment
AGt7EmdB9IU,ترامب يوقع قرارا فيدراليا حول معايير استخدام دش الاستحمام وينسف قرارات سابقة لأوباما وبايدن,https://www.youtube.com/watch?v=AGt7EmdB9IU,149,satirical,other,other,['Global'],Arabic,2 to 5 minutes,politics
e2phH39A7h0,ضربوها بعد 35 عاماً من الخدمة!.. اعتداء الأمن على احتجاجات المعلمين تثير الغضب في العراق,https://www.youtube.com/watch?v=e2phH39A7h0,55,confrontational,news report,anger,['Other'],Mixed,Up to 1 minute,society
dzoMgjVtdCY,عُثر عليه جثة مقطعة إلى أجزاء ومفصولة الرأس.. من هو عمر العزي وما تفاصيل الجريمة؟,https://www.youtube.com/watch?v=dzoMgjVtdCY,85,emotional,news report,sadness,"['Syria', 'Levant', 'MENA']",Arabic,1 to 2 minutes,crime
d92qj7_KxWU,"باسل خياط، سامر المصري، باميلا الكيك، زينة مكي ونجوم مسلسل ""آسر"" يجيبون على أسئلة تحدي بلينكس",https://www.youtube.com/watch?v=d92qj7_KxWU,113,casual,storytelling,none,['Other'],Arabic,1 to 2 minutes,society
qKuiTEG-Ff0,"""مش متذكر"".. أحمد مناصرة يعانق الحرية بعد 10 سنوات من التعذيب الجسدي والنفسي بالسجون الإسرائيلية",https://www.youtube.com/watch?v=qKuiTEG-Ff0,81,emotional,storytelling,hope,"['Palestine', 'Levant', 'MENA']",Mixed,1 to 2 minutes,human rights
-uoccI9nnQM,"ترامب يعلن حربا جديدة ضد ""دش الحمام"" ويلغي قرارا سابقا لإدارة بايدن لحماية ""شعره الجميل""",https://www.youtube.com/watch?v=-uoccI9nnQM,49,satirical,casual report,other,['Global'],English,Up to 1 minute,politics
boC0f_L1iSU,زيزو جهز الفيزا وزميله في الطريق.. هل بدأ الأهلي انتقامه؟,https://www.youtube.com/watch?v=boC0f_L1iSU,73,other,storytelling,other,"['Egypt', 'North Africa', 'MENA']",Arabic,1 to 2 minutes,sports
utZPk_qjbn4,صاحب صاحبه لآخر نفس!.. شاب مصري حاول إنقاذ صديقه فقتلهم القطار سوياً,https://www.youtube.com/watch?v=utZPk_qjbn4,48,emotional,storytelling,sadness,"['Egypt', 'North Africa', 'MENA']",Arabic,Up to 1 minute,society
wuh18xC6Q3o,تطبيق يساعدك في اكتشاف ماضي حبيبك ويكشف سوابق الشباب على تطبيقات المواعدة!,https://www.youtube.com/watch?v=wuh18xC6Q3o,64,emotional,storytelling,fear,['Global'],Mixed,1 to 2 minutes,society
-70nFlAvK3U,ماتيتش نجم مانشستر يونايتد السابق يضرب أونانا برسالة لاذعة وحارس الفريق الإنجليزي يفحمه برد صادم,https://www.youtube.com/watch?v=-70nFlAvK3U,74,confrontational,casual report,anger,['Global'],English,1 to 2 minutes,sports
p-Bt1yWhCyQ,ديري بالك على ملابسك!.. ضرائب ترامب تهدد خطوط انتاج الموضة وتوقعات بارتفاع كبير في أسعار الملابس,https://www.youtube.com/watch?v=p-Bt1yWhCyQ,66,factual,news report,none,['Global'],Arabic,1 to 2 minutes,economy
roloFWm_RuY,"تريندات | ""أعلن للسجن وانسجن"".. سمك أبو جنة فلوس حرام؟",https://www.youtube.com/watch?v=roloFWm_RuY,34,emotional,storytelling,sadness,['Other'],Arabic,Up to 1 minute,crime
O4U7BaKdj1Y,"حكومة لبنان الجديدة تسترد مساحات شاسعة من شواطئ البلاد منحتها الحكومة السابقة لأشخاص وشركات ""وهمية""",https://www.youtube.com/watch?v=O4U7BaKdj1Y,74,satirical,other,other,"['Lebanon', 'Levant', 'MENA']",Arabic,1 to 2 minutes,politics
EM7xGRMO1fI,"""صرنا نطير والعالم بتفرج علينا"".. أسماء الددة تصف واقع غزة: سعر الخس أغلى من الذهب!",https://www.youtube.com/watch?v=EM7xGRMO1fI,34,emotional,storytelling,sadness,"['Palestine', 'Levant', 'MENA']",Arabic,Up to 1 minute,economy
oscaAqHDRT4,جراحات تجميل الأنف تنتشر بمئات الآلاف في إيران.. حرية شخصية أم تجرد من الهوية؟,https://www.youtube.com/watch?v=oscaAqHDRT4,92,factual,news report,none,['Other'],Mixed,1 to 2 minutes,society
Vs7medKxf4Y,ذعر وتقلبات في الأسواق عقب ضرائب ترامب.. هل يجب عليك أن تشتري الآيفون الآن؟,https://www.youtube.com/watch?v=Vs7medKxf4Y,113,emotional,casual report,fear,['Global'],Mixed,1 to 2 minutes,economy
9awUx-s5S0Y,خطيبة جيف بيزوس ومجموعة نساء يستعدن لرحلة فضائية لمدة 11 دقيقة وبتكلفة ملايين الدولارات!.. ما القصة؟,https://www.youtube.com/watch?v=9awUx-s5S0Y,83,factual,news report,none,['Global'],Arabic,1 to 2 minutes,technology
E8j4GyxTHxI,"تريندات | ""جو حطاب العريس"".. الكشف عن هوية خطيب عبير الصغير!",https://www.youtube.com/watch?v=E8j4GyxTHxI,45,emotional,storytelling,other,['Other'],Arabic,Up to 1 minute,society
hazxKwkkCGk,"أبطال مسلسل ""آسر"" يتحدثون عن شخصياتهم فيه، باسل خياط، سامر المصري، باميلا الكيك وزينة خوري وغيرهم!",https://www.youtube.com/watch?v=hazxKwkkCGk,129,emotional,storytelling,other,['Other'],Arabic,2 to 5 minutes,entertainment
yz3z5YJ8N1E,في العراق قريباً.. الكازية تيجي لسيارتك بكبسة زر، بس ليش؟,https://www.youtube.com/watch?v=yz3z5YJ8N1E,38,casual,other,pride,['Other'],Arabic,Up to 1 minute,technology
WlNrEwl2QlM,ناوي تشتري سيارة؟ اشتريها الآن! تعريفات ترامب الجمركية على المكسيك وكندا تعني أن الحرب التجارية بدأت,https://www.youtube.com/watch?v=WlNrEwl2QlM,71,confrontational,storytelling,anger,['Global'],Mixed,1 to 2 minutes,economy
d3LEXvwJ0J8,"محبوبة الأطفال ""مس ريتشل"" تحت هجوم حاد في أميركا بسبب دعمها لأطفال غزة.. فهل تصمد أمام هذه الحملة؟",https://www.youtube.com/watch?v=d3LEXvwJ0J8,59,confrontational,news report,anger,"['Palestine', 'Levant', 'MENA']",Arabic,Up to 1 minute,society
7EjReLJrWlU,"""حبيت الحب اللي وصلني منها"".. باميلا الكيك ترد عبر بلينكس على ""أوف يا محمد"" التي قالتها ماغي بو غصن",https://www.youtube.com/watch?v=7EjReLJrWlU,46,emotional,storytelling,pride,"['Lebanon', 'Levant', 'MENA']",Arabic,Up to 1 minute,entertainment
tzZLHF5aXLU,"حزب الله يقبل التفاوض على نزع سلاحه بشرط واحد بعدما كان يعتبر الأمر ""خط أحمر"".. فما سر التحول؟",https://www.youtube.com/watch?v=tzZLHF5aXLU,126,factual,news report,none,"['Lebanon', 'Levant', 'MENA']",Arabic,2 to 5 minutes,politics
VdiCZgou0XM,7 هزائم مُذلة تحبط أحلام مشجع الريال.. فما هي خطط أنشيلوتي للبقاء في البرنابيو,https://www.youtube.com/watch?v=VdiCZgou0XM,69,emotional,storytelling,sadness,['Global'],Arabic,1 to 2 minutes,sports
tXnwFondNa4,لعبة شريرة خارجة عن القانون!.schedule 1 أحدث ترند في عالم الألعاب مع أكثر من 140 ألف لاعباً متزامناً,https://www.youtube.com/watch?v=tXnwFondNa4,60,satirical,casual report,other,['Global'],Arabic,Up to 1 minute,entertainment
3MtT6UyKzN4,علماء ينجحون في استيلاد نوع من الذئاب انقرض قبل 10.000 عام.. فكيف عاد هذا المخلوق المخيف,https://www.youtube.com/watch?v=3MtT6UyKzN4,53,factual,news report,none,['Global'],English,Up to 1 minute,technology
l-_Uj3bUFxg,"تريندات | ""خطبها عشان ينتقم!"".. انفصال حبيبة النجار وأحمد سليم!",https://www.youtube.com/watch?v=l-_Uj3bUFxg,44,emotional,other,sadness,['Other'],Mixed,Up to 1 minute,entertainment
l8vU3QLSU8w,دانييلا رحمة تشارك تجربة علاجها من التهاب أصاب عينها خلال فترة تصوير مسلسل نفس.. فما هو وكيف عالجته؟,https://www.youtube.com/watch?v=l8vU3QLSU8w,61,factual,storytelling,none,['Other'],Arabic,1 to 2 minutes,health
t48E2Ry8SN0,"قصة مأساوية صادمة في ريف حلب.. ""غسلوا العار"" بدم بناتهم!",https://www.youtube.com/watch?v=t48E2Ry8SN0,76,emotional,storytelling,sadness,"['Syria', 'Levant', 'MENA']",Arabic,1 to 2 minutes,crime
Hc6REd4lkw4,حول أي مستند لـ PDF وأرسله في ثوان من واتساب.. دون الاستعانة بأي تطبيق!,https://www.youtube.com/watch?v=Hc6REd4lkw4,38,factual,casual report,none,['Global'],Arabic,Up to 1 minute,technology
6vrn2if3fQw,جيش من المؤثرات يغيرن حياتهن دعما لإسرائيل.. فهل هي مسألة مبدأ أم أرباح ملطخة بالدماء؟,https://www.youtube.com/watch?v=6vrn2if3fQw,94,confrontational,news report,anger,['Global'],Arabic,1 to 2 minutes,society
ORYBeOXS-0M,"ترامب يستهزئ بدول فرض عليها رسوما جمركية ""تستميت لإلغائها"" ويعلن عقاب الصين لأن ""لديها كبرياء..",https://www.youtube.com/watch?v=ORYBeOXS-0M,75,confrontational,other,anger,['Global'],English,1 to 2 minutes,politics
cqsP52cKKyg,العيش بدون تليفون ذكي مفتاح للسعادة.. ولكن هل يمكننا الاكتفاء بالهواتف الغبية؟ مشاهير فعلوها!,https://www.youtube.com/watch?v=cqsP52cKKyg,63,casual,casual report,other,['Global'],Mixed,1 to 2 minutes,technology
XBjh8Q8rsXo,"لقطة واحدة كانت كافية لتغيير حياتها.. ما قصة مكنسة التايلندية ""min""؟",https://www.youtube.com/watch?v=XBjh8Q8rsXo,82,inspirational,storytelling,pride,['Other'],Arabic,1 to 2 minutes,society
